"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Zhang Q.; Fan A.; Wang Y.; Wu F.; Li L.; Meng H.; Geng D.","Zhang, Qing (59059268600); Fan, Aiqing (57490684700); Wang, Yongshuai (57210835652); Wu, Fan (59874516000); Li, Lin (57298738600); Meng, Hong (7202279106); Geng, Dechao (37661213900)","59059268600; 57490684700; 57210835652; 59874516000; 57298738600; 7202279106; 37661213900","Emerging frontiers in two-dimensional sliding ferroelectrics","2025","npj 2D Materials and Applications","9","1","76","","","","9","10.1038/s41699-025-00600-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013795058&doi=10.1038%2fs41699-025-00600-1&partnerID=40&md5=bbefa43b68ae48be189924fe2f11be5c","The emergence of sliding ferroelectricity in 2D van der Waals materials has opened a new paradigm for designing nanoscale nonvolatile memories, where polarization switching is governed by interlayer sliding rather than conventional ion displacement. This perspective highlights materials, strategies, switching dynamics, and device applications of 2D sliding ferroelectric materials. Finally, the critical challenges and future research directions are outlined, aiming to guide the rational design of next-generation sliding ferroelectric materials. © The Author(s) 2025.","","Ferroelectricity; Van der Waals forces; Ferroelectrics materials; Interlayer sliding; Ion displacements; Material strategy; Nano scale; Non-volatile memory; Nonvolatile memory; Polarization switching; Two-dimensional; Van der Waal; Ferroelectric materials","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105013795058"

﻿"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Eckstein U.; Webber K.G.","Eckstein, Udo (56585948800); Webber, Kyle G. (8940568800)","56585948800; 8940568800","Using high-throughput processing and characterization methods to investigate the role of synthesis conditions on the energy storage properties of a high entropy oxide","2025","Japanese Journal of Applied Physics, Part 1: Regular Papers and Short Notes and Review Papers","64","10","100801","","","","0","10.35848/1347-4065/ae08c1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018464129&doi=10.35848%2f1347-4065%2fae08c1&partnerID=40&md5=5c7a6fc7e52c059d217ce0f5a65d8a93","High-entropy perovskite oxides have attracted considerable interest for their temperature stability and energy storage properties, making them ideally suited for high energy density ceramic capacitors. Introducing chemical disorder in polar oxides, such as (Bi0.2Na0.2Ba0.2Sr0.2Ca0.2)TiO3 (BNBSCT), can be an effective strategy in tuning the hysteretic response. Despite this, there is little understanding about the processing-induced variations in the properties. To investigate this, high-throughput synthesis platforms offer significant unrealized potential for materials development that has been limited by the complexity of accelerating solid-state workflows. In this study, we present a high-throughput solid-state synthesis and characterization approach to investigate the role of calcination and sintering temperatures on the resulting macroscopic dielectric and energy storage properties of BNBSCT. These data show that the calcination temperature influences the energy storage properties, even at the same sintering conditions, as well as an apparent threshold in dielectric loss, below which the energy storage properties are enhanced. © 2025 The Author(s). Published on behalf of The Japan Society of Applied Physics by IOP Publishing Ltd.","high energy density capacitors; high-entropy oxides; high-throughput synthesis; lead-free ferroelectrics","Barium compounds; Boron compounds; Calcination; Dielectric devices; Dielectric losses; Energy storage; Entropy; Ferroelectric materials; Sintering; Storage (materials); Throughput; Calcination temperature; Characterization methods; Energy storage properties; High energy density capacitors; High-entropy oxide; High-throughput; High-throughput synthesis; Lead-free ferroelectrics; Processing method; TiO; Perovskite","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105018464129"

﻿"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Guo C.; Yang L.; Wang J.; Huang H.","Guo, Changqing (57216436762); Yang, Letao (57205240416); Wang, Jing (36912952800); Huang, Houbing (59713710900)","57216436762; 57205240416; 36912952800; 59713710900","Phase-field simulation of domain switching in ferroelectric trilayer films under bending-induced strain gradient; [弯曲应变梯度作用下铁电三层膜畴翻转的相场模拟研究]","2025","Wuli Xuebao/Acta Physica Sinica","74","12","127501","","","","1","10.7498/aps.74.20250334","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009157286&doi=10.7498%2faps.74.20250334&partnerID=40&md5=ba2f2876034fa026bc52e29f02281bec","Flexible ferroelectric materials possess considerable potentials for wearable electronics and bio-inspired devices, yet their mechano-electric coupling mechanisms under dynamic bending conditions remain incompletely understood. In his work, the effects of bending deformation on domain structures and macroscopic ferroelectric responses in (SrTiO3)10/(PbTiO3)10/(SrTiO3)10 flexible ferroelectric trilayer films are systematically investigated using phase-field simulations. By constructing computational models for upward-concave (U-shaped) and downward-concave (N-shaped) bending configurations, the strain distribution and its regulation mechanism on polarization patterns under different curvature radii are analyzed. The results reveal distinct strain gradients across bending modes: U-shaped bending induces compressive strain in the upper layer and tensile strain in the lower layer, generating a negative out-of-plane strain gradient. Conversely, N-shaped bending reverses this strain distribution. Such inhomogeneous strains drive significant polarization reconfiguration within the PTO layer. At a moderate curvature (large R), the system retains stable vortex-antivortex pairs. Reducing bending radius (smaller R) promotes divergent topological transitions—U-shaped bending facilitates vortex pair transformation into zigzag-like domains, while N-shaped bending drives vortex-to-out-of-plane c-domain evolution. Notably, bending-induced strain gradients impose transverse flexoelectric fields that markedly change trilayer hysteresis loops. U-shaped bending introduces a negative flexoelectric field, shifting loops rightward with maximum polarization (Pmax) decreasing. In contrast, N-shaped bending generates a positive field, enhancing Pmax via leftward loop shifting. The polarization switching analysis under electric field further demonstrates bending-mediated control of domain evolution pathway and reversal dynamics. These findings not only elucidate profound bending effects on flexible ferroelectrics’ domain architectures and functional properties but also provide theoretical guidance for designing strain-programmable ferroelectric memories, adaptive sensors, and neuromorphic electronics. © 2025 中国物理学会 Chinese Physical Society.","bending; ferroelectric vortex; phase-field simulation; strain gradient","Bending (deformation); Bending (forming); Biomimetics; Crystallography; Ferroelectric devices; Ferroelectric films; Ferroelectricity; Flexible electronics; Lead titanate; Platinum compounds; Polarization; Strain measurement; Titanium compounds; Topology; Vortex flow; Wearable technology; Bending; Ferroelectric vortex; Induced strain; Out-of-plane; Phase-field simulation; SrTiO 3; Strain distributions; Strain gradients; Trilayer film; U-shaped; Tensile strain","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105009157286"

﻿"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Kondo S.; Utsunomiya T.; Okamoto K.; Nakahata M.; Ikeda O.; Nakatani T.; Kumara R.; Koganezawa T.; Funakubo H.; Sakata O.; Teranishi T.; Kishimoto A.; Yamada T.","Kondo, Shinya (57191579618); Utsunomiya, Tatsuki (60042349900); Okamoto, Kazuki (57201883064); Nakahata, Miki (58571785400); Ikeda, Osamu (55549609600); Nakatani, Tomotaka (59221524300); Kumara, Rosantha (56108945500); Koganezawa, Tomoyuki (24314728800); Funakubo, Hiroshi (7102812955); Sakata, Osami (7004050329); Teranishi, Takashi (55615390100); Kishimoto, Akira (7102727557); Yamada, Tomoaki (35783475700)","57191579618; 60042349900; 57201883064; 58571785400; 55549609600; 59221524300; 56108945500; 24314728800; 7102812955; 7004050329; 55615390100; 7102727557; 35783475700","Composition dependence of electro-optic effect in (Formula presented)-oriented epitaxial rhombohedral Pb(ZrxTi1−x)O3 thin films prepared by chemical solution deposition","2025","Japanese Journal of Applied Physics, Part 1: Regular Papers and Short Notes and Review Papers","64","8","08SP08","","","","0","10.35848/1347-4065/adf4f0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013117654&doi=10.35848%2f1347-4065%2fadf4f0&partnerID=40&md5=368339226cd6cc4fc646ed1c71e337b0","Epitaxial rhombohedral Pb(ZrxTi1−x)O3 (PZT) thin films with different compositions (x = 0.7-0.55) were fabricated on SrRuO3/SrTiO3(111) substrates by chemical solution deposition. The domain volume fraction and lattice constants of the thin films varied systematically with the PZT composition. All films exhibited strong ferroelectricity, with remnant polarization values comparable to theoretically estimated values. The effective electro-optic (EO) coefficient (rc) was not constant with respect to the applied field but varied with the magnitude of AC field due to dynamic domain motion, reaching its maximum value at a certain electric field. The rate of change in rc due to the reversible ferroelastic domain motion, as well as the electric field at which rc peaked, were dependent on the PZT composition. These results indicate that precise control of domain structure and composition is essential to enhance the EO response of thin films. © 2025 The Japan Society of Applied Physics. All rights, including for text and data mining, AI training, and similar technologies, are reserved.","dynamic domain motion; electro-optic effect; ferroelectric; Pb(Zr,Ti)O<sub>3</sub>; thin film","Crystallography; Deposition; Electrooptical devices; Electrooptical effects; Ferroelectric films; Lattice constants; Lead zirconate titanate; Titanium compounds; Zirconium compounds; Chemical solution deposition; Composition dependence; Domain motions; Dynamic domain motion; Dynamic domains; Electrooptic effects; Pb(zr,ti)O3; PZT; PZT thin-film; Thin-films; Ferroelectricity; Thin films","Article","Final","","Scopus","2-s2.0-105013117654"

﻿"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
